Match ID,Team Blue,Team Red
da1162ae-5d65-42fd-8c48-33f075c957b1,Alpha Threat,Easy As Pie
7be31cde-a299-4518-a215-2d44b4a54b46,Alpha Threat,Easy As Pie
5373f299-3860-4223-96a9-2500969f2928,Team Name Loading,Easy As Pie
81c56faa-ce6b-41b0-9f53-fef8f7427a1a,Team Name Loading,Easy As Pie
07a26827-564d-4860-a8b9-df81c6a9525b,Easy As Pie,Killer Instinct Gaming
8a14646d-3dea-4ee9-86f3-4c6a5e91cad8,Easy As Pie,Killer Instinct Gaming
13c29953-9f12-4c8c-8f6d-c23bb159dd73,Easy As Pie,Killer Instinct Gaming
d13dabde-3f0c-4c19-90ca-3d9972507a30,Alpha Threat,Easy As Pie
bcf77a5e-7568-4ebe-9bdb-e93748435b58,Easy As Pie,Alpha Threat
2e894c19-00af-4c2b-ae25-d21ad2b61901,Munchers,Easy As Pie
8add8f2e-8939-4cbb-8737-3450ba35b1ea,Munchers,Easy As Pie
21dba896-d82d-4592-b650-1656807c91bd,Easy As Pie,Munchers
22305dd3-86f9-47c1-a9ac-3aa098d1c90f,Queens,Easy As Pie
990397b6-ee76-40bc-b4c5-a99bc7f48795,Queens,Easy As Pie
bf87bcc5-bf2b-4f2b-ba67-663b50628193,Easy As Pie,Chickens
1354f97a-5c69-4b97-92f9-480b2e9e00cf,Easy As Pie,Chickens
c472e91d-93e8-4c94-bf1c-dc223c673616,Easy As Pie,Chickens
ea31b4fb-ab46-4f8a-b984-402c567bd139,Easy As Pie,Explicit
ae18c5c0-0408-4492-a134-cf1171e72b2a,Easy As Pie,Explicit
7ac5a87a-5715-428f-aa0c-bb8c91819f11,Insert Team Name,Easy As Pie
657ae0d8-7ef7-4a71-afcd-5203008db9e5,Insert Team Name,Easy As Pie
b1e67f80-05ef-46af-8ffe-5c1fe1dc182b,Insert Team Name,Easy As Pie
05a99321-9c0a-4206-9505-054b637214a6,Easy As Pie,Wingman's Demons
4be612c0-3de6-414c-86ac-67413894ffd1,Wingman's Demons,Easy As Pie
33525bcc-6282-449f-abd8-f8bff8f7e801,Team Name Loading,Munchers
a57baa2c-48ba-4366-8ac5-ca24495b6b55,Team Name Loading,Munchers
5a8e9b1e-ab50-4c87-83a2-c2e7e7f86d89,Wingman’s Demons,Team Name Loading
b2ad1b34-5d92-498b-a6f6-7ee991bd785b,Wingman’s Demons,Team Name Loading
5cf8da29-254f-4733-bafd-4c56476f7820,Queens,Team Name Loading
254987b1-7f5f-4a73-8984-5ab569a1cbf5,Queens,Team Name Loading
91397363-e958-4c77-8e87-7750ddc2c160,Team Name Loading,Chickens
3b0178af-90ba-4bde-b8ac-628196b456e0,Team Name Loading,Chickens
73e30d3c-e567-4a96-a307-6158374b4d53,Insert Team Name,Team Name Loading
ab5e6094-6a34-4c7c-9484-20144cbcab2a,Insert Team Name,Team Name Loading
ccdadffd-2baa-4079-822f-dd05bfff1908,Alpha Threat,Team Name Loading
68fdf5cd-20ec-4c1c-ac7b-c5f17784095c,Team Name Loading,Alpha Threat
beecdfab-a5e9-4873-8ccf-6af5891611d8,Team Name Loading,Killer Instinct Gaming
6c9c699c-4a42-477d-87c1-41bf735531c4,Killer Instinct Gaming,Team Name Loading
3b395153-5336-4cd1-9136-16cffa2a0531,Team Name Loading,Killer Instinct Gaming
322f5947-10bc-4cdb-91d5-85b04ef0e9f7,Team Name Loading,Explicit
8cb71295-38f3-417e-acc7-fc32889aeccb,Explicit,Team Name Loading