Match ID,Map,Total Rounds,Team Blue Rounds,Team Red Rounds, Team Blue, Team Red,Winner
da1162ae-5d65-42fd-8c48-33f075c957b1,Fracture,23,10,13,Easy As Pie,Alpha Threat,Easy As Pie
7be31cde-a299-4518-a215-2d44b4a54b46,Bind,16,3,13,Easy As Pie,Alpha Threat,Easy As Pie
5373f299-3860-4223-96a9-2500969f2928,Bind,22,13,9,Easy As Pie,Team Name Loading,Team Name Loading
81c56faa-ce6b-41b0-9f53-fef8f7427a1a,Pearl,34,18,16,Easy As Pie,Team Name Loading,Team Name Loading
07a26827-564d-4860-a8b9-df81c6a9525b,Lotus,16,3,13,Killer Instinct Gaming,Easy As Pie,Killer Instinct Gaming
8a14646d-3dea-4ee9-86f3-4c6a5e91cad8,Bind,18,5,13,Killer Instinct Gaming,Easy As Pie,Killer Instinct Gaming
13c29953-9f12-4c8c-8f6d-c23bb159dd73,Fracture,26,14,12,Killer Instinct Gaming,Easy As Pie,Easy As Pie
d13dabde-3f0c-4c19-90ca-3d9972507a30,Bind,15,2,13,Easy As Pie,Alpha Threat,Easy As Pie
bcf77a5e-7568-4ebe-9bdb-e93748435b58,Fracture,28,15,13,Alpha Threat,Easy As Pie,Easy As Pie
2e894c19-00af-4c2b-ae25-d21ad2b61901,Haven,23,13,10,Easy As Pie,Munchers,Munchers
8add8f2e-8939-4cbb-8737-3450ba35b1ea,Bind,16,3,13,Easy As Pie,Munchers,Easy As Pie
21dba896-d82d-4592-b650-1656807c91bd,Ascent,18,5,13,Munchers,Easy As Pie,Munchers
22305dd3-86f9-47c1-a9ac-3aa098d1c90f,Split,24,11,13,Easy As Pie,Queens,Easy As Pie
990397b6-ee76-40bc-b4c5-a99bc7f48795,Ascent,24,11,13,Easy As Pie,Queens,Easy As Pie
ea31b4fb-ab46-4f8a-b984-402c567bd139,Ascent,24,11,13,Explicit,Easy As Pie,Explicit
ae18c5c0-0408-4492-a134-cf1171e72b2a,Lotus,18,5,13,Explicit,Easy As Pie,Explicit
7ac5a87a-5715-428f-aa0c-bb8c91819f11,Lotus,28,15,13,Easy As Pie,Insert Team Name,Insert Team Name
657ae0d8-7ef7-4a71-afcd-5203008db9e5,Haven,23,13,10,Easy As Pie,Insert Team Name,Insert Team Name
b1e67f80-05ef-46af-8ffe-5c1fe1dc182b,Bind,17,4,13,Easy As Pie,Insert Team Name,Easy As Pie
05a99321-9c0a-4206-9505-054b637214a6,Ascent,18,13,5,Wingman's Demons,Easy As Pie,Easy As Pie
4be612c0-3de6-414c-86ac-67413894ffd1,Bind,16,3,13,Easy As Pie,Wingman's Demons,Easy As Pie
bf87bcc5-bf2b-4f2b-ba67-663b5062819,Pearl,21,13,8,Easy As Pie,Chickens,Chickens
1354f97a-5c69-4b97-92f9-480b2e9e00cf,Ascent,23,13,10,Easy As Pie,Chickens,Chickens
c472e91d-93e8-4c94-bf1c-dc223c673616,Haven,22,9,13,Easy As Pie,Chickens,Easy As Pie